"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"31/10/2024","7.600","7.525","7.650","7.500","25,84M","1,67%"
"30/10/2024","7.475","7.575","7.575","7.450","9,56M","-1,32%"
"29/10/2024","7.575","7.500","7.575","7.450","10,86M","0,66%"
"28/10/2024","7.525","7.500","7.525","7.375","4,96M","0,33%"
"25/10/2024","7.500","7.575","7.575","7.450","6,07M","-0,33%"
"24/10/2024","7.525","7.500","7.550","7.475","9,34M","0,33%"
"23/10/2024","7.500","7.450","7.550","7.425","19,21M","1,01%"
"22/10/2024","7.425","7.400","7.475","7.350","14,44M","0,34%"
"21/10/2024","7.400","7.400","7.425","7.325","8,43M","-0,34%"
"18/10/2024","7.425","7.225","7.475","7.200","23,78M","3,48%"
"17/10/2024","7.175","7.175","7.275","7.175","5,42M","0,00%"
"16/10/2024","7.175","7.250","7.275","7.150","8,88M","-0,35%"
"15/10/2024","7.200","7.050","7.250","7.050","17,97M","2,13%"
"14/10/2024","7.050","7.000","7.100","6.975","3,97M","0,71%"
"11/10/2024","7.000","7.100","7.100","6.975","4,47M","-0,36%"
"10/10/2024","7.025","7.000","7.100","6.925","11,88M","1,44%"
"09/10/2024","6.925","7.000","7.025","6.925","9,82M","-1,07%"
"08/10/2024","7.000","6.925","7.000","6.850","8,90M","1,08%"
"07/10/2024","6.925","7.000","7.000","6.825","10,83M","-1,77%"
"04/10/2024","7.050","7.100","7.125","7.000","5,62M","-0,70%"
"03/10/2024","7.100","7.075","7.150","7.050","6,84M","0,35%"
"02/10/2024","7.075","7.125","7.150","7.025","9,65M","-1,39%"
"01/10/2024","7.175","7.050","7.175","7.050","10,45M","1,77%"
"30/09/2024","7.050","7.175","7.175","7.050","11,72M","-1,74%"
"27/09/2024","7.175","7.250","7.250","7.175","9,53M","-0,69%"
"26/09/2024","7.225","7.200","7.250","7.175","18,00M","0,70%"
"25/09/2024","7.175","7.175","7.175","7.075","17,99M","0,00%"
"24/09/2024","7.175","7.125","7.175","7.075","15,04M","1,06%"
"23/09/2024","7.100","7.150","7.175","7.075","12,87M","-0,70%"
"20/09/2024","7.150","7.100","7.200","7.075","26,48M","1,06%"
"19/09/2024","7.075","7.100","7.150","7.075","10,92M","0,00%"
"18/09/2024","7.075","7.125","7.150","7.050","5,43M","-0,35%"
"17/09/2024","7.100","7.100","7.150","7.025","7,88M","0,00%"
"13/09/2024","7.100","7.150","7.200","7.050","10,83M","-0,70%"
"12/09/2024","7.150","7.050","7.175","6.975","22,47M","2,14%"
"11/09/2024","7.000","7.000","7.025","6.950","9,46M","-0,71%"
"10/09/2024","7.050","6.950","7.050","6.925","12,14M","1,81%"
"09/09/2024","6.925","7.000","7.025","6.850","7,13M","-1,42%"
"06/09/2024","7.025","6.925","7.075","6.900","14,30M","0,72%"
"05/09/2024","6.975","6.700","6.975","6.700","24,21M","4,10%"
"04/09/2024","6.700","6.725","6.725","6.650","8,27M","-1,11%"
"03/09/2024","6.775","6.700","6.775","6.675","11,65M","0,74%"
"02/09/2024","6.725","6.825","6.825","6.725","7,86M","-1,82%"
"30/08/2024","6.850","6.800","6.850","6.725","22,11M","0,74%"
"29/08/2024","6.800","6.825","6.825","6.750","13,27M","-0,37%"
"28/08/2024","6.825","6.825","6.825","6.700","9,44M","0,37%"
"27/08/2024","6.800","6.875","6.900","6.725","12,17M","-0,73%"
"26/08/2024","6.850","6.700","6.850","6.675","14,05M","2,24%"
"23/08/2024","6.700","6.650","6.725","6.575","12,45M","0,75%"
"22/08/2024","6.650","6.575","6.650","6.550","12,11M","0,38%"
"21/08/2024","6.625","6.550","6.650","6.525","15,69M","1,53%"
"20/08/2024","6.525","6.500","6.525","6.425","15,26M","1,16%"
"19/08/2024","6.450","6.525","6.525","6.375","10,03M","-1,15%"
"16/08/2024","6.525","6.500","6.525","6.400","9,53M","0,77%"
"15/08/2024","6.475","6.500","6.550","6.400","9,58M","-0,38%"
"14/08/2024","6.500","6.325","6.650","6.325","29,98M","2,77%"
"13/08/2024","6.325","6.275","6.350","6.275","10,45M","1,20%"
"12/08/2024","6.250","6.275","6.300","6.225","5,56M","-0,40%"
"09/08/2024","6.275","6.225","6.275","6.175","7,07M","0,80%"
